country_name,country_code,year,health_expenditure_pct_gdp,health_expenditure_percap_usd,gdp_growth_pct_annual,gdp_percap_usd,military_expenditure_pct_gdp,military_expenditure_usd,pop_age_above_65_pct_total_pop,total_pop,gov_revenue_gdp_pct,urban_pop_pct_total_pop
"Iran, Islamic Rep.",IRN,2014,6.35239553,368.1918335,4.984775067,5672.063729,2.116557061,9901118855,5.770679093,81502045,.,72.83
Iraq,IRQ,2014,2.78786659,178.9807129,2.263688176,6249.39227,2.950613991,6923644082,3.020415097,36550059,39.16943642,69.758
Ireland,IRL,2014,9.49471951,5316.269531,9.33603375,57278.25909,0.459917414,1192733691,12.79519071,4657740,31.63402502,62.34
Isle of Man,IMN,2014,.,.,5.155099837,91885.45287,.,.,19.74014364,83892,.,52.162
Israel,ISR,2014,7.04530668,2804.231445,3.775828432,38343.30466,5.647196801,17737375714,10.79529792,8215700,31.53452179,92.104
Italy,ITA,2014,8.86791801,3154.275879,-0.001387617,36028.3494,1.282969654,27701034335,21.69787401,60320707,39.93310718,69.272
Jamaica,JAM,2014,5.16564465,256.9966736,0.689822357,4975.113255,0.872784217,121310243.5,6.336557078,2793749,26.70180535,54.584
Japan,JPN,2014,10.7290144,4121.211426,0.296205514,38475.39525,0.957800922,46903466613,26.22618834,127276000,.,91.304
Jordan,JOR,2014,7.20892906,302.1412048,3.384078099,4191.180501,4.203452619,1548873239,3.350115998,8791710,23.05305368,90
Kazakhstan,KAZ,2014,2.97468472,369.6850891,4.200000006,12427.70946,1.041692133,2306468865,6.596981357,17816285,19.45438738,57.118
Kenya,KEN,2014,4.91267347,72.84589386,5.020111002,1482.815663,1.199433367,819042626.8,2.345034136,46051440,19.56210588,25.221
Kiribati,KIR,2014,8.9549551,155.3865662,1.26366268,1736.705357,.,.,3.638799409,115326,87.00063106,50.773
"Korea, Dem. People's Rep.",PRK,2014,.,.,.,.,.,0,10.75085414,25451262,.,61.098
"Korea, Rep.",KOR,2014,6.50225973,1909.915039,3.202453795,29252.93124,2.529935781,37552298954,12.52540919,50746659,24.98844436,81.707
Kosovo,XKX,2014,.,.,3.348804784,3902.494244,0.758329268,53575787.74,7.265805242,1812788,.,.
Kuwait,KWT,2014,2.9159987,1293.832642,0.500914739,44368.78137,3.585618421,5832103420,2.217694746,3665876,.,100
Kyrgyz Republic,KGZ,2014,7.35766459,93.15830994,4.024038631,1264.526688,1.713569023,127971088.8,4.794704661,5905848,29.44860667,35.635
Lao PDR,LAO,2014,2.29845548,45.53330612,7.61196344,1981.039109,.,.,4.111717864,6703172,16.09266436,32.487
Latvia,LVA,2014,5.46339607,856.7665405,2.094959771,15185.81458,0.943460036,295728965.3,19.24149098,1993782,28.96069218,67.952
Lebanon,LBN,2014,7.52181005,569.9793701,2.484060105,7577.64133,4.678175228,2270065960,6.438980805,6346990,19.91764685,87.947
Lesotho,LSO,2014,9.99925232,121.3491592,1.710549905,1173.537793,1.953796076,47693396.03,3.939975645,2080089,42.02857057,26.502
Liberia,LBR,2014,8.76283932,59.32390976,0.7013931,706.7144901,1.032529165,14531000,3.197428036,4564293,.,49.397
Libya,LBY,2014,5.17777824,462.1921692,-23.04280583,8926.420746,15.4795763,3755652496,4.417354759,6427252,.,79.009
Liechtenstein,LIE,2014,.,.,.,178735.153,.,.,15.90312815,37248,.,14.313
Lithuania,LTU,2014,6.19332647,1021.232971,3.772543796,16446.16472,0.879596258,426913695.4,18.60352015,2937253,29.56732177,67.108
Luxembourg,LUX,2014,5.23040915,6547.034668,2.623086792,123678.7021,0.366856826,252079423.1,14.12510629,556319,39.71959434,89.884
"Macao SAR, China",MAC,2014,.,.,-2.048378141,88310.81196,.,.,8.189770999,621700,37.26019393,100
Madagascar,MDG,2014,4.46240282,22.56570244,3.339203112,505.6849225,0.556391261,69676655.25,2.712829346,24764348,9.291699307,34.534
Malawi,MWI,2014,6.89776182,35.337677,5.625270001,529.513344,0.58077192,49454535.91,3.164788361,16621538,11.79645428,16.132
Malaysia,MYS,2014,3.71036959,414.4392395,6.006721946,11013.31073,1.455113016,4919245323,5.545043103,30696137,19.94006469,73.577
Maldives,MDV,2014,7.91345072,707.3924561,7.860686372,8939.074166,.,.,4.097994038,413617,26.09131863,38.106
Mali,MLI,2014,4.48158312,35.7261734,7.60253469,940.24326,1.515933832,218118403.1,2.669674724,18020267,11.18941132,39.196
Malta,MLT,2014,9.08505249,2456.434814,7.631129375,27424.57654,0.48676155,56514879.92,17.943563,433481,37.53161775,94.347
Marshall Islands,MHL,2014,12.11000061,449.9056397,-1.25958379,3735.239778,.,.,2.58554904,49796,23.60971774,75.384
Mauritania,MRT,2014,3.46724391,59.29050827,4.274823288,1713.008653,2.197095192,144844330.7,3.633220983,3848514,.,50.203
Mauritius,MUS,2014,5.38024664,544.4412231,3.82696982,10366.35508,0.151017482,19744222.08,8.419746216,1261208,22.45826787,41.111
Mexico,MEX,2014,5.35336781,609.8223267,2.503763499,11391.37735,0.495321042,6758693845,6.514463949,119784261,17.68859911,78.993
"Micronesia, Fed. Sts.",FSM,2014,11.9102993,345.0158997,-2.305775745,2945.41496,.,.,3.723384627,108396,28.68896443,22.399
Moldova,MDA,2014,8.63275623,230.7698212,4.999625854,3289.957586,0.293185446,27565559.84,11.0822689,2857815,26.24998649,42.496
Monaco,MCO,2014,4.44085073,8678.043945,7.187027775,195693.5707,.,.,32.88585031,36128,.,100
Mongolia,MNG,2014,4.20989752,176.6965179,7.885225482,4126.239758,0.859725258,105114434.9,3.807759492,2963113,25.15519106,68.163
Montenegro,MNE,2014,8.00086784,581.401062,1.783698581,7364.965901,1.472272349,67544018.04,14.00355256,623744,.,65.471
Morocco,MAR,2014,5.41626596,188.6415863,2.71924408,3435.406982,3.398458641,4048612524,5.635436041,34204780,24.51516745,60.256
Mozambique,MOZ,2014,6.24013042,43.50259018,7.702568448,697.1426804,0.980759494,173752249,2.728360246,25788475,27.22338514,33.878
Myanmar,MMR,2014,4.39346027,54.28113556,8.169907456,1293.000423,3.789534379,2372895912,5.490747452,50681634,22.02756084,29.65
Namibia,NAM,2014,8.4089098,452.2585144,6.09251916,5378.323262,4.32586724,537456013.7,3.516701097,2312139,36.96587773,45.826
Nauru,NRU,2014,8.3867569,760.0439453,16.42333564,9193.097844,.,.,1.377705376,10742,85.63221831,100
Nepal,NPL,2014,5.07549381,41.9739151,6.011482843,821.4552249,1.495262742,328115662.2,5.343163693,27672370,16.23388567,18.182
Netherlands,NLD,2014,10.56703758,5601.885742,1.612610013,53457.22349,1.159687891,10332602878,17.35244065,16865008,39.73036734,89.69
New Caledonia,NCL,2014,.,.,.,37816.95586,.,.,8.515083145,281224,.,68.931
New Zealand,NZL,2014,9.40168381,4184.597656,3.826384918,44618.26697,0.998051493,1994775497,14.36917848,4516500,32.64533977,86.281
Nicaragua,NIC,2014,7.97716141,156.2223206,4.785460136,1958.370476,0.685091959,81391929.94,4.592835909,6066492,16.43459199,57.7
Niger,NER,2014,4.45377159,25.09494019,6.642136655,565.3098973,1.338598197,145600369.9,2.433736026,19215909,.,16.219
Nigeria,NGA,2014,3.34840417,102.3988876,6.309718655,3088.721313,0.414718777,2357671219,2.981488961,185896915,.,46.982
North Macedonia,MKD,2014,6.28993368,357.6386719,3.629123513,5925.385922,1.0929608,124185105.7,12.92635247,1917557,26.05921398,57.284
Northern Mariana Islands,MNP,2014,.,.,4.177545692,15945.41761,.,.,4.200963999,52178,.,91.273
Norway,NOR,2014,9.28297901,9116.37793,2.048132004,97666.69518,1.462279428,7336785328,16.02837625,5137232,45.86757569,80.692
Oman,OMN,2014,3.13740134,726.6466065,1.292252294,23160.65023,8.860411814,8213524057,2.563836701,4002439,.,80.145
Pakistan,PAK,2014,2.48899078,32.11787415,4.116428172,1266.613408,3.096579697,8676510710,3.805344294,214264647,.,35.819
Palau,PLW,2014,10.66757393,1481.356567,4.769999433,13726.02314,.,.,7.256562235,17715,24.46495158,77.517
Panama,PAN,2014,6.91532087,919.2946167,4.625813756,13213.19896,.,0,6.998804373,3892101,13.23082836,66.371
Papua New Guinea,PNG,2014,3.27119064,89.08061218,13.54377062,2723.175298,0.48441331,112375755.9,2.808501871,8523441,19.26719915,12.988
Paraguay,PRY,2014,6.62719059,440.8582153,5.301238592,6652.254789,0.986605392,398370830.5,5.446611105,6069811,16.71820172,60.474
Peru,PER,2014,4.93103409,332.1884155,2.382157372,6667.134104,1.602487622,3217574657,8.022008096,30115826,21.82969073,77.173
Philippines,PHL,2014,3.70313668,106.1629334,6.347987483,2866.838038,1.043127066,3103131460,3.623377172,103767130,14.4354569,46.093
Poland,POL,2014,6.42679548,911.2981567,3.920508624,14262.28419,1.91903676,10345153575,14.88280069,38011735,32.28977333,60.403
Portugal,PRT,2014,9.3428812,2059.926514,0.741391417,22120.68501,1.307686642,3002398602,20.11410315,10401062,38.39377654,62.936
Puerto Rico (US),PRI,2014,.,.,-1.190363473,28576.0988,.,.,17.48109206,3585017,.,93.651
Qatar,QAT,2014,2.42293572,2252.414063,5.334323292,95840.63101,.,.,1.061792161,2151745,.,98.868
Romania,ROU,2014,5.02789736,503.3475342,4.116001093,10031.77108,1.347663784,2691470287,16.79392668,19908979,31.71873435,53.9
Russian Federation,RUS,2014,5.18209648,736.3217773,0.736267222,14055.47266,4.112992978,84696504653,13.1683588,144237223,27.15173471,73.95
Rwanda,RWA,2014,6.98471594,50.63998795,6.167166152,724.9575261,1.102738752,90937793.22,2.889327066,11364757,18.2524162,16.967
Samoa,WSM,2014,6.2579422,248.2032318,0.659923769,3982.680802,.,.,4.873848338,200037,29.75152633,19.149
San Marino,SMR,2014,8.30091763,4120.026855,-0.7023705,51260.49383,.,.,18.22508191,32655,43.69727215,96.559
Sao Tome and Principe,STP,2014,7.91452122,118.7098084,4.906210487,1489.676334,.,.,3.555474241,196767,.,69.213
Saudi Arabia,SAU,2014,5.15801096,1363.591553,4.024640706,27805.48503,10.53506046,80762400000,2.28000576,28309273,35.23722959,82.96
Senegal,SEN,2014,4.38962269,61.40605545,6.224074438,1398.891376,1.213366003,239893634.5,3.548607251,14152102,.,45.436
Serbia,SRB,2014,9.2459898,608.8585815,-1.804270248,6886.678091,1.940768764,913368512.8,18.3902831,7131787,37.32307685,55.583
Seychelles,SYC,2014,4.76223993,631.4267578,4.063691812,15188.19022,2.22756172,30909152.72,7.030753575,91359,.,54.969
Sierra Leone,SLE,2014,19.69004631,143.6060333,-7.815015125,1117.758647,0.973262106,48810630.79,3.185249226,6876385,.,40.432
Singapore,SGP,2014,3.87132597,2233.349609,3.935540277,57564.80231,3.047860385,9596602344,8.576064054,5469724,18.02089947,100
Sint Maarten (Dutch part),SXM,2014,.,.,1.580382215,37134.91242,.,.,7.040890064,36672,.,100
Slovak Republic,SVK,2014,6.88411617,1289.348511,2.707951514,18770.92899,0.984879429,997703821.8,13.69500338,5418649,.,54
Slovenia,SVN,2014,8.50197601,2062.384766,2.762833276,24013.06821,0.973739588,486194870.4,17.54694968,2061980,43.72386419,53.557
Solomon Islands,SLB,2014,4.89056253,105.8747253,1.189217471,2164.944239,.,.,3.478314433,616908,29.23232147,21.896
"Somalia, Fed. Rep.",SOM,2014,2.71561337,13.11646461,8.978005906,429.4316567,.,60258000,2.362608888,13339491,.,42.679
South Africa,ZAF,2014,7.87136555,539.3078003,1.413826452,6856.731371,1.021893996,3892485091,5.331154978,55594838,28.87261306,64.312
South Sudan,SSD,2014,.,.,3.373648477,1242.734502,8.46061686,1301525424,2.558652826,11235073,.,18.626
Spain,ESP,2014,9.08675957,2680.029541,1.520485936,29707.76551,1.253912424,17178549315,18.25564484,46460733,28.31390184,79.366
Sri Lanka,LKA,2014,3.46786141,132.8219452,6.377978893,3971.919131,2.412647012,1914591220,8.635676063,20778000,10.92869548,18.218
St. Kitts and Nevis,KNA,2014,4.75037622,961.7302856,7.576966023,20219.39542,.,.,7.480515619,47089,34.58941144,30.885
St. Lucia,LCA,2014,4.62322617,464.5115051,1.328090221,10044.82184,.,.,7.876776244,174138,19.08572036,18.482
St. Martin (French part),MAF,2014,.,.,.,20638.76519,.,.,6.63809562,37450,.,.
St. Vincent and the Grenadines,VCT,2014,4.17631912,299.3312988,1.250254369,7168.828753,.,.,9.320686288,107535,25.7121306,50.558
Sudan,SDN,2014,5.67619705,88.78570557,4.661379542,1275.438354,.,.,2.639406039,38823318,11.04182063,33.689
Suriname,SUR,2014,4.52127838,440.9526367,0.255503032,9108.189054,.,.,6.040342526,575373,.,66.089
Sweden,SWE,2014,10.9479475,6605.911621,2.295763792,59583.714,1.126447318,6555518064,19.52106927,9696110,32.08853988,86.247
Switzerland,CHE,2014,10.69967365,9550.455078,2.349881415,88724.99107,0.634898338,4612776477,17.71422812,8188649,17.13224843,73.696
Syrian Arab Republic,SYR,2014,4.01812267,46.44654465,-10.31033991,1060.591059,.,.,3.989454987,20273659,.,51.5
Tajikistan,TJK,2014,6.6654973,73.06859589,6.70000069,1081.544029,1.128385045,104280689.2,2.949409131,8425552,.,26.655
Tanzania,TZA,2014,4.01492071,39.85456848,6.732461868,1022.748413,1.015761003,507285799,2.935735107,50351512,12.2379339,30.904
Thailand,THA,2014,3.68448091,213.7439575,0.984468864,5801.197892,1.379976048,5582641023,9.894223165,70216367,20.38005158,46.943
Timor-Leste,TLS,2014,7.60483742,93.10574341,4.472498466,1224.749578,2.046845851,29624000,5.138829016,1181903,158.3890946,29.133
Togo,TGO,2014,4.90473413,41.96416092,5.633240218,855.5852849,1.818288863,83080011.56,2.816331804,7472450,14.28690954,39.579
Tonga,TON,2014,5.11481524,207.0526276,1.990537699,4136.590109,.,.,5.997148458,106609,20.16787608,23.328
Trinidad and Tobago,TTO,2014,4.83714819,1010.827698,3.695365151,21908.30178,0.656301051,188885806.8,7.576040641,1345343,32.8203672,53.413
Tunisia,TUN,2014,6.45006084,287.6095581,3.090328031,4458.978955,1.806887481,908359962.9,6.807769147,11274288,.,67.772
Turkiye,TUR,2014,4.32517862,520.4075317,4.939715161,12165.22014,1.871966551,17576538471,7.525186339,77181884,30.30974852,73.077
Turkmenistan,TKM,2014,4.25741673,393.8684387,10.29999997,7164.145362,.,.,3.556476299,6075283,.,49.921
Turks and Caicos Islands,TCA,2014,.,.,8.711295808,24014.26534,.,.,7.868758916,35050,.,91.851
Tuvalu,TUV,2014,14.93791771,527.1203613,0,3528.858581,.,.,5.412418063,10984,.,58.786
Uganda,UGA,2014,5.33653069,50.957798,5.106307325,896.0547955,0.885150158,325663027.2,1.913432329,36395539,.,21.504
Ukraine,UKR,2014,7.19506168,208.9440002,-10.07889498,3054.908203,2.967368259,3961551379,14.76324464,45972380,33.68454517,68.968
United Arab Emirates,ARE,2014,3.53405499,1776.731079,4.165691841,51381.40699,5.643651352,22755071477,1.496568875,8059440,2.929661454,85.375
